Slug	EN	DE	PL	RU	NL	FR	CZ	UA	HR	GR	PT	TR	BG	HU	ES	IT	SR	RO
	Truck (Gas)	Motorwagen (Gas)	Samochód ciężarowy (gaz)	Автомобиль (цистерна для газа)	Motorwagen (gas)	Camion (essence)	Nákladní automobil (plyn)	Вантажівка (газовоз)	Kamion (plin)	Φορτηγό (αέριο)	Camião (gás)	Kamyon (gaz)	Камион (газ)	Tehergépjármű (gáz)	Camión (gas)	Autocarro (gas)	Камион (гас)	Camion (gaz)
	Truck (open)	Motorwagen (offen)	Samochód ciężarowy (otwarty)	Автомобиль (открытый)	Motorwagen (open)	Camion (ouvert)	Nákladní automobil (otevřený)	Вантажівка (відкрита)	Kamion (otvoren)	Φορτηγό (ανοιχτό)	Camião (aberto)	Kamyon (açık)	Камион (открит)	Tehergépjármű (nyitott)	Camión (abierto)	Autocarro (aperto)	Камион (отворен)	Camion (deschis)
	Car	PKW	Samochód osobowy	Легковой автомобиль	Personenauto	Voiture	Osobní vůz	Автомобіль	Automobil	Αυτοκίνητο	Carro	Otomobil	Лек автомобил	Személygépkocsi	Coche	Auto	Аутомобил	Mașină
	Small transporter	Kleintransporter	Van	Фургон	Bestelwagen	Camionnette	Minivan	Фургон	Mali transporter	Μικρό μεταφορικό	Pequena transportadora	Küçük nakliye aracı	Лекотоварен автомобил	Kisteherautó	Pequeño transportista	Piccolo camion	Мали транспортер	Transportor mic
vehicle_trailer_chassis	Trailer (chassis)	Hänger (Chassis)	Przyczepa (bez nadwozia)	Прицеп (шасси)	Aanhangwagen (chassis)	Remorque (châssis)	Přívěs (náprava)	Причіп (шасі)	Prikolica (šasija)	Ρυμουλκούμενο (πλαίσιο)	Atrelado (chassi)	Römork (şasi)	Ремарке (шаси)	Pótkocsi (alváz)	Remolque (chasis)	Rimorchio (telaio)	Приколица (шасија)	Trailer (șasiu)
vehicle_trailer_packaged	Trailer (packaged)	Hänger (verpackt)	Przyczepa (z nadwoziem)	Прицеп (снаряженный)	Aanhangwagen (verpakt)	Remorque (fermée)	Přívěs (zakrytý)	Причіп (закритий)	Prikolica (zapakirana)	Ρυμουλκούμενο (packaged)	Atrelado (pronto a instalar)	Römork (paketli)	Ремарке (оборудвано)	Pótkocsi (felépítmény)	Remolque (embalado)	Rimorchio (carico)	Приколица (комплетнa)	Remorcă (ambalată)
vehicle_semi_trailer_chassis	Semi-trailer (chassis)	Auflieger (Chassis)	Naczepa (bez nadwozia)	Седельный прицеп (шасси)	Oplegger (chassis)	Semi-remorque (châssis)	Návěs (náprava)	Напівпричіп (шасі)	Poluprikolica (šasija)	Ημιρυμουλκούμενο (πλαίσιο)	Semirreboque (chassi)	Yarı römork (şasi)	Полуремарке (шаси)	Félpótkocsi (alváz)	Semirremolque (chasis)	Semirimorchio (telaio)	Полуприколица (шасија)	Semi-trailer (șasiu)
vehicle_semi_trailer_packaged	Semi-trailer (packaged)	Auflieger (verpackt)	Naczepa (z nadwoziem)	Седельный прицеп (снаряженный)	Oplegger (verpakt)	Semi-remorque (fermée)	Návěs (zakrytý)	Напівпричіп (закритий)	Poluprikolica (zapakirana)	Ημιρυμουλκούμενο (packaged)	Semirreboque (pronto a instalar)	Yarı römork (paketli)	Полуремарке (оборудвано)	Félpótkocsi (felépítmény)	Semirremolque (embalado)	Semirimorchio (carico)	Полуприколица (комплетнa)	Semi-trailer (ambalat)
vehicle_tank_semi_trailer	Tank semi-trailer	Tankauflieger	Naczepa cysterna	Полуприцеп-цистерна	Tankoplegger	Semi-remorque citerne	Cisternový návěs	Напівпричіп-цистерна	Poluprikolica sa spremnikom	Δεξαμενή ημιρυμουλκούμενου	Semirreboque tanque	Tank - yarı römork	Полуремарке-цистерна	Tartály, félpótkocsi	Semirremolque (cisterna)	Semirimorchio cisterna	Цистерна полуприколица	Semi-trailer
vehicle_silo_semi_trailer	Silo semi-trailer	Siloauflieger	Naczepa silosowa	Полуприцеп-силос	Silo-oplegger	Silo semi-remorque	Návěs se silem	Напівпричіп-кормовоз	Poluprikolica sa silosom	Σιλό ημιρυμουλκούμενου	Semirreboque silo	Silo - yarı römork	Полуремарке-силоз	Siló, félpótkocsi	Semirremolque (silo)	Semirimorchio silos	Полуприколица силос	Semi-trailer siloz
vehicle_tank_container	Tank container	Tankcontainer	Kontener cysterna	Контейнер-цистерна	Tankcontainer	Citerne	Cisternový kontejner	Контейнер-цистерна	Kontejner cisterne	Δεξαμενή	Contentor-cisterna	Tank konteyneri	Контейнер-цистерна	Tartály, konténer	Contenedor (cisterna)	Container cisterna	Контејнер цистерна	Container de rezervor
vehicle_silo_container	Silo container	Silocontainer	Kontener silosowy	Контейнер-силос	Silocontainer	Silo conteneur	Kontejner se silem	Контейнер-кормовоз	Kontejner silosa	Σιλό	Contentor-silo	Silo konteyneri	Контейнер-силоз	Siló, konténer	Contenedor (silo)	Container silo	Силос контејнер	Container de siloz
vehicle_box_container	Box container with inlet	Boxcontainer mit Inlet	Kontener morski z wlotami	Блочный контейнер с вентиляцией	Boxcontainer met inlet	Conteneur avec accès	Skříňový kontejner s inlet	Блочний контейнер із входом	Kontejner kutije s otvorom	Εμπορευματοκιβώτιο με είσοδο	Contentor tipo caixa com entrada	Giriş ağızlı kutu konteyneri	ISO контейнер	Dobozos konténer beömlőnyílással	Contenedor con entrada (inlet)	Container box con inlet	Блок контејнер са улазима	Container cu cutie cu intrare
vehicle_thermos_truck	Thermos truck	Thermos LKW	Samochód ciężarowy izoterma	Автомобиль с рефрижератором	Thermos-vrachtwagen	Camion réfrigéré	Chladírenský automobil	Вантажівка-рефрижератор	Kamion s hladnjačom	Φορτηγό ψυγείο	Camião com caixa térmica	Termos kamyon	Изотермичен камион	Hűtött tehergépjármű	Camión (térmico)	Autocarro refrigerato	Камион хладњача	Camion termos
vehicle_dump_truck	Dump truck	Muldenfahrzeug	Wywrotka	Автомобиль с ковшовой платформой	Portaalarmvrachtwagen	Camion-benne	Sklápěč	Самоскид	Kamion za smeće	Ανατρεπόμενο φορτηγό	Camião basculante	Damperli kamyon	Самосвал	Billenő tehergépjármű	Camión (volquete)	Autocarro con cassone ribaltabile	Кипер	Camion de gunoi
vehicle_swap_body	Swap body	Wechselbrücke	Nadwozie wymienne	Сменный кузов	Wissellaadbak	Caisse mobile	Výměnná nástavba	Змінний кузов	Izmjenjivi sanduk	Ανταλλασσόμενο αμάξωμα	Caixa móvel	Trampa gövdesi	Сменяема каросерия	Cserélhető felépítmény	Caja móvil	Cassa mobile	Измењиви контејнер	Swap corpul
	Tank Container	Tankcontainer	Kontener cysterna	Контейнер-цистерна	Tankcontainer	Citerne	Cisternový kontejner	Контейнер-цистерна	Kontejner cisterne	Δεξαμενή	Contentor-cisterna	Tank konteyneri	Контейнер-цистерна	Tartály, konténer	Contenedor (cisterna)	Container cisterna	Контејнер цистерна	Container de rezervor
	Silo Container	Silocontainer	Kontener silosowy	Силос-контейнер	Silocontainer	Silo conteneur	Kontejner se silem	Контейнер-кормовоз	Kontejner silosa	Σιλό	Contentor-silo	Silo konteyneri	Контейнер-силоз	Siló, konténer	Contenedor (silo)	Container silo	Силос контејнер	Container de siloz
	Gas Container	Gascontainer	Kontener na gaz	Газовый баллон	Gascontainer	Essence conteneur	Kontejner na plyn	Контейнер-газовоз	Kontejner plina	Δεξαμενή αερίου	Cisterna para gás	Gaz konteyneri	Газов контейнер	Gáz, konténer	Contenedor (gas)	Container gas	Контејнер за гас	Container de gaz
	Dump body	Mulde	Wywrotka	Ковш	Portaalarm	Benne basculante	Sklápěcí korba	Кузов-самоскид	Korito	Ανατρεπόμενο αμάξωμα	Carroçaria basculante	Damper	Каросерия на самосвал	Billenthető felépítmény	Volquete	Cassone ribaltabile	Корито	Dump Corp
privacy_statements_side_menu	Privacy statements	Datenschutz-\nerklärungen	Polityka prywatności	Положение о конфиденциальности	Gegevensbeschermings-\nverklaringen	Déclarations de confidentialité	Prohlášení o ochraně osobních údajů	Заяви про конфіденційність	Pravila privatnosti	Δήλωση απορρήτου	Declarações de privacidade	Gizlilik beyanları	Декларации за поверителност	Adatvédelmi nyilatkozatok	Declaraciones de privacidad	Informative sulla privacy	Изјаве о приватности	Declarații de confidențialitate
settings_label	Settings	Einstellungen	Ustawienia	Настройки	Instellingen	Paramètres	Nastavení	Налаштування	Postavke	Ρυθμίσεις	Definições	Ayarlar	Настройки	Beállításokra	Ajustes	Impostazioni	Подешавања	Setări
notifications_label	Notifications	Mitteilungen	Powiadomienia	Сообщения	Mededelingen	Notifications	Oznámení	Сповіщення	Obavijesti	Ειδοποιήσεις	Notificações	Bildirimler	Известия	Értesítések	Notificaciones	Notifiche	Обавештења	Notificări
logout	Logout	Logout	Wyloguj	Выход из системы	Logout	Déconnexion	Odhlášení	Вихід	Odjava	Αποσύνδεση	Sair	Çıkış	Изход	Kijelentkezés	Cerrar sesión	Esci	Одјавите се	Deconectare
data_privacy_side_menu	Data Privacy	Datenschutz	Ochrona danych osobowych	Конфиденциальность	Gegevensbescherming	Confidentialité des données	Ochrana osobních údajů	Конфіденційність даних	Zaštita podataka	Απόρρητο δεδομένων	Privacidade dos dados	Veri gizliliği	Поверителност на данните	Adatvédelem	Privacidad de datos	Privacy dei dati	Приватност података	Confidențialitatea datelor
